,products_name,price
0,"MOTOROLA G32 (Mineral Gray, 128 GB)","₹12,099"
1,"realme C55 (Sunshower, 128 GB)","₹13,999"
2,"MOTOROLA G32 (Satin Silver, 128 GB)","₹12,099"
3,"realme C55 (Rainy Night, 128 GB)","₹13,999"
4,"realme C55 (Rainy Night, 64 GB)","₹11,999"
5,"realme C55 (Sunshower, 64 GB)","₹11,999"
6,"MOTOROLA g31 (Meteorite Grey, 64 GB)","₹12,099"
7,"realme C55 (Sunshower, 64 GB)","₹10,999"
8,"realme C55 (Rainy Night, 64 GB)","₹10,999"
9,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹14,490"
10,"MOTOROLA g52 (Metallic White, 128 GB)","₹14,099"
11,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999"
12,"MOTOROLA g52 (Charcoal Grey, 64 GB)","₹10,999"
13,"POCO M4 Pro (Cool Blue, 128 GB)","₹13,999"
14,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹14,490"
15,"POCO M4 5G (Cool Blue, 128 GB)","₹14,999"
16,"REDMI 10 (Midnight Black, 128 GB)","₹11,999"
17,"POCO M4 Pro (Power Black, 64 GB)","₹12,999"
18,"POCO M4 5G (Power Black, 64 GB)","₹12,999"
19,"MOTOROLA g52 (Charcoal Grey, 128 GB)","₹14,099"
20,"REDMI 10 Power (Sporty Orange, 128 GB)","₹11,574"
21,"MOTOROLA G32 (Mineral Gray, 64 GB)","₹11,099"
22,"POCO M4 Pro (Cool Blue, 64 GB)","₹12,999"
23,"POCO M4 5G (Cool Blue, 64 GB)","₹12,999"
